product_id,product_name,category,gender,base_price
P081,Belt_and_wallet_set_model1,Accessories,Men,480000
P082,Belt_and_wallet_set_model2,Accessories,Men,380000
P083,handbag_model1,Clothing,women,250000
P084,handbag_model2,Clothing,women,398000
P085,handbag_model3,Clothing,women,450000
P086,handbag_model4,Clothing,women,450000
P087,body_bag,Clothing,unisex,450000
P088,Leather_bag,Clothing,unisex,550000
P089,handbag_model5,Clothing,women,650000
P090,handbag_model6,Clothing,women,650000
P091,handbag_model7,Clothing,women,698000
P092,handbag_model8,Clothing,women,850000
P093,handbag_model9,Clothing,women,950000
P094,handbag_model10,Clothing,women,998000
P095,Kitchen_knife_Dafni,Home & Living,unisex,120000
P096,Kitchen_knife,Home & Living,unisex,60000
P097,Children's_spoon_and_fork,Home & Living,kids,398000
P098,spoon_and_fork,Home & Living,unisex,250000
P099,Small_hand_broom_single,Home & Living,unisex,100000
P100,Small_hand_broom_double,Home & Living,unisex,150000
P101,Spice_container_set_Yas,Home & Living,unisex,280000
P102,Diamond_bowl_set_Asa,Home & Living,unisex,450000
P103,Plastic_container_set_with_lid_10pices,Home & Living,unisex,450000
P104,Lidded_freezer_container_3pices,Home & Living,unisex,450000
P105,Lidded_freezer_container_4pices,Home & Living,unisex,550000
P106,Lidded_bowl_set_minel_guzel,Home & Living,unisex,550000
P107,Mug,Home & Living,unisex,180000
P108,Coffee_cup_set,Home & Living,unisex,750000
P109,Tea_flask,Home & Living,unisex,750000
P110,Porcelain_teapot,Home & Living,unisex,398000
P111,Pyrex_teapot,Home & Living,unisex,750000
P112,Frying_pan,Home & Living,unisex,100000
P113,Sugar_bowl,Home & Living,unisex,150000
P114,glass_set,Home & Living,unisex,280000
P115,glass_set_Onix,Home & Living,unisex,330000
P116,Mug_Alicia,Home & Living,unisex,398000
P117,Pitcher_and_glass_set,Home & Living,unisex,1100000
P118,Men's_shorts_jeans,Clothing,Men,450000
P119,Men's_shorts_sport,Clothing,Men,398000
P120,Men's_hemp_shorts,Clothing,Men,598000
P121,Sport_Trousers,Clothing,Men,450000
P122,Sport_Trousers_sayji,Clothing,Men,898000
P123,Sport_Trousers_nike,Clothing,Men,750000
P124,Trousers_cotten,Clothing,Men,1500000
P125,Slipper_Pastelli,Clothing,Kids,200000
P126,Slipper_plastic,Clothing,kids,250000
P127,Slipper_Pastelli,Clothing,Men,250000
P128,Slipper_addi,Clothing,Men,380000
P129,Slippers,Clothing,women,150000
P130,slippers_bita,Clothing,women,350000
P131,Orthopedic_shoes,Clothing,women,750000
P132,Vans_shoes_teddy,Clothing,kids,698000
P133,strappy_sandals,Clothing,Men,850000
P134,Crystal_bracelet,Accessories,women,80000
P135,Hair_clip_model1,Accessories,women,50000
P136,Hair_clip_model2,Accessories,women,80000
P137,Hair_clip_model3,Accessories,women,80000
P138,Wooden_hairbrush,Accessories,unisex,198000
